,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
2389,4.440617e-06,0.42406124,0.20393972,1.108327e-05,0.1571147,0.09585011,0.10950587,0.0095030265,5.263014e-06,4.5279485e-06,2014-02-06,2014
2390,3.5142824e-05,0.12247337,0.004675525,8.7712455e-05,0.51311946,0.3222153,0.036785413,0.0005305795,4.1651234e-05,3.583396e-05,2014-02-06,2014
2391,4.1278625e-05,0.010732228,0.17785026,0.00010302671,0.46150845,0.0019223063,0.102778845,0.24497259,4.892338e-05,4.2090433e-05,2014-02-07,2014
2392,8.659807e-06,0.0026627863,0.6404609,2.1613881e-05,0.00086788676,0.00040891703,0.35541943,0.00013072317,1.0263592e-05,8.830114e-06,2014-02-19,2014
2393,2.0620517e-05,0.018194588,0.003179572,5.1466443e-05,0.056058004,0.45845422,0.46368483,0.00031128706,2.4439412e-05,2.1026051e-05,2014-02-25,2014
2394,4.475568e-06,9.175015e-05,0.050019052,1.1170503e-05,0.012532364,0.21313146,0.7241323,6.758157e-05,5.3044373e-06,4.5635866e-06,2014-02-27,2014
2395,9.376856e-06,0.00019236113,0.065815374,2.3403556e-05,0.16459931,0.27097687,0.49822104,0.00014159323,1.1113439e-05,9.561266e-06,2014-03-01,2014
2396,2.4851115e-05,0.021258594,0.03824663,0.012110788,0.65757847,0.15884443,0.08229237,0.029589096,2.9453511e-05,2.533985e-05,2014-03-04,2014
2397,1.3551971e-05,0.028549828,0.6193576,3.3824163e-05,0.08417298,0.00069299235,0.26694483,0.00020457404,1.606178e-05,1.3818491e-05,2014-03-09,2014
2398,7.0470333e-06,0.00014446725,0.0019341959,1.7588585e-05,0.0076095937,0.04636891,0.9437963,0.00010638126,8.3521345e-06,7.1856234e-06,2014-03-13,2014
2399,2.0157024e-05,0.014099852,0.0040339343,5.0309616e-05,0.1086197,0.5496906,0.3231367,0.00030427557,2.389008e-05,2.0553442e-05,2014-03-19,2014
2400,5.189413e-06,0.00010645348,0.14903826,1.2952179e-05,0.00080063567,0.0046548694,0.84529185,7.8337616e-05,6.1504857e-06,5.2914706e-06,2014-03-20,2014
2401,1.177388e-05,0.33940348,0.16644534,2.9386254e-05,0.3670734,0.022203742,0.104629174,0.0001777471,1.3954389e-05,1.2005431e-05,2014-03-31,2014
2402,7.854638e-06,0.000161008,0.7145173,1.9604275e-05,0.12504347,0.049054448,0.0797194,0.03145957,9.309307e-06,8.009111e-06,2014-03-31,2014
2403,1.3376061e-05,0.010357895,0.02017122,0.0020880557,0.62536395,0.2080187,0.11370075,0.02025658,1.5853291e-05,1.3639121e-05,2014-04-02,2014
2404,1.1566201e-05,0.00023730489,0.638247,2.8867908e-05,0.0012640123,0.0005446155,0.35403523,0.0056058597,1.3708246e-05,1.1793667e-05,2014-04-06,2014
2405,3.558551e-06,0.005052075,0.78198457,8.881735e-06,0.010639994,0.0043634293,0.19788593,5.3722324e-05,4.2175902e-06,3.6285353e-06,2014-04-09,2014
2406,1.37511815e-05,0.1791542,0.1910371,3.432137e-05,0.34635863,0.113058686,0.13177598,0.03853703,1.6297883e-05,1.4021619e-05,2014-04-09,2014
2407,1.414886e-05,0.0066169333,0.13495755,3.531393e-05,0.12749436,0.7220719,0.008564992,0.000213604,1.676921e-05,1.4427118e-05,2014-04-09,2014
2408,8.389027e-06,0.00017193543,0.7288229,2.093805e-05,0.15902863,0.0039354973,0.10786658,0.00012664129,9.942665e-06,8.5540105e-06,2014-04-23,2014
2409,1.038443e-05,0.03223135,0.029403681,2.5918345e-05,0.6731583,0.064553834,0.20043682,0.00015677956,1.2307614e-05,1.0588656e-05,2014-04-29,2014
2410,5.545792e-06,0.010039022,0.10597686,1.3841661e-05,0.0024547402,0.014737381,0.8666767,8.3718296e-05,6.572866e-06,5.6548583e-06,2014-05-02,2014
2411,1.5213313e-05,0.00031195124,0.0021763495,3.7970683e-05,0.26004222,0.5039152,0.20495892,0.02850866,1.80308e-05,1.5512505e-05,2014-05-04,2014
2412,9.734076e-06,0.0023933828,0.86529785,2.4295137e-05,0.049295552,0.00045019417,0.08236064,0.00014694482,1.1536816e-05,9.925511e-06,2014-05-05,2014
2413,9.172539e-06,0.003056605,0.11438471,2.2893602e-05,0.17421174,0.37952185,0.32863432,0.00013847073,1.0871281e-05,9.352931e-06,2014-05-07,2014
2414,4.3699492e-06,0.011150817,0.6686244,1.09068915e-05,0.0043915194,0.0019431751,0.31379917,6.597035e-05,5.1792586e-06,4.4558906e-06,2014-05-14,2014
2415,5.25856e-06,0.000108099244,0.91462815,1.31247625e-05,0.048837192,0.00025802603,0.025718309,0.010420202,6.2324393e-06,5.361978e-06,2014-05-15,2014
2416,8.367611e-06,0.011045971,0.664999,2.0884598e-05,0.14679699,0.069145575,0.10783847,0.00012632852,9.917282e-06,8.532173e-06,2014-05-19,2014
2417,2.14938e-05,0.012307312,0.45489916,5.3646057e-05,0.09852642,0.027050829,0.40676922,0.00032449534,2.5474426e-05,2.1916509e-05,2014-05-20,2014
2418,1.0660496e-05,0.36844718,0.046748027,2.6607375e-05,0.16811788,0.041939534,0.3720803,0.0026062804,1.2634807e-05,1.0870151e-05,2014-05-20,2014
2419,9.488438e-06,0.00019470706,0.913059,2.3682052e-05,0.000955352,0.00046172977,0.08513181,0.00014324303,1.12456855e-05,9.675043e-06,2014-05-22,2014
2420,5.6583776e-06,0.000116089206,0.56688976,1.4122661e-05,0.0038785697,0.042542312,0.38645557,8.543195e-05,6.7063024e-06,5.7696584e-06,2014-05-23,2014
2421,1.6005803e-05,0.011202489,0.010027391,3.9948645e-05,0.23294294,0.2881687,0.4573256,0.0002416268,1.8970057e-05,1.632058e-05,2014-05-28,2014
2422,9.872388e-06,0.00020230559,0.18088417,2.4640345e-05,0.06266401,0.16967693,0.5863673,0.00014903382,1.1700741e-05,1.0066543e-05,2014-05-30,2014
2423,4.285698e-06,0.0030862598,0.5649014,1.0696611e-05,0.02854265,0.009154606,0.39422596,6.470356e-05,5.079404e-06,4.369983e-06,2014-06-02,2014
2424,4.8811557e-06,0.0031967366,0.065925576,1.2182805e-05,0.0052131093,0.017455684,0.90810734,7.368454e-05,5.7851403e-06,4.977151e-06,2014-06-04,2014
2425,8.469275e-06,0.013965686,0.015949022,2.1138336e-05,0.0687684,0.19379438,0.7073464,0.00012785796,1.0037774e-05,8.635835e-06,2014-06-11,2014
2426,1.1800858e-05,0.05300097,0.039493095,2.9453588e-05,0.7771889,0.025114702,0.06804729,0.037087798,1.3986363e-05,1.203294e-05,2014-06-17,2014
2427,1.32845535e-05,0.03091195,0.0016463955,3.315672e-05,0.5268022,0.08162972,0.037265446,0.32166857,1.5744836e-05,1.3545814e-05,2014-06-19,2014
2428,3.502701e-06,0.007176916,0.53777105,8.74234e-06,0.006278376,0.026472747,0.4202453,0.002035684,4.151397e-06,3.571587e-06,2014-06-25,2014
2429,7.839417e-06,0.10126998,0.047998715,1.9566285e-05,0.69474196,0.12462912,0.02685653,0.0044590165,9.291268e-06,7.993591e-06,2014-06-27,2014
2430,1.50097585e-05,0.0034254123,0.0055284104,3.7462636e-05,0.19201104,0.75912184,0.03960113,0.00022657699,1.7789547e-05,1.5304948e-05,2014-07-01,2014
